Employee_ID,First_Name,Last_Name,Age,Gender,Department,Job_Level,Years_Experience,Annual_Salary,Monthly_Bonus,Satisfaction_Score,Performance_Rating,Projects_Completed,Overtime_Hours,Sick_Days_Taken,Remote_Work_Pct,Education_Level,City,Engagement_Index,Attrition_Risk
1001,Grace,Johnson,37.0,Male,HR,Mid,3.7,92327.44,927.4,6.2,B,8,10.2,9.0,25,Masters,Austin,71.81,0.2162
1002,Tina,Anderson,43.0,Female,Engineering,Senior,2.7,84003.43,391.51,1.96,C,7,0.5,,75,Bachelors,Seattle,45.59,0.2346
1003,Olivia,Garcia,21.0,Female,Sales,Manager,13.1,80718.11,1705.21,3.78,B,10,7.8,11.0,0,Bachelors,Seattle,90.86,0.586
1004,Kate,Taylor,52.0,Non-Binary,Marketing,Junior,16.5,93572.39,1588.13,6.74,A,10,1.1,5.0,100,Bachelors,Portland,67.04,0.2179
1005,Hank,Brown,38.0,Female,Legal,Mid,4.2,83374.61,92.4,1.9,A,3,9.6,3.0,75,Bachelors,Denver,69.57,0.6031
1006,Grace,Garcia,28.0,Male,Legal,Senior,0.1,90888.13,2727.29,2.22,B,3,4.5,1.0,25,PhD,Denver,61.61,0.1495
1007,Sam,Anderson,47.0,Male,HR,Mid,11.0,75550.52,1365.03,5.6,A,10,2.5,6.0,50,Bachelors,Denver,63.41,0.0953
1008,Kate,Rodriguez,54.0,Female,HR,Lead,2.3,66409.23,901.47,6.61,D,5,5.4,13.0,25,Masters,San Francisco,78.08,0.6641
1009,Kate,Thomas,,Female,Finance,Director,0.1,59940.42,380.22,2.68,B,12,1.6,3.0,50,PhD,San Francisco,97.8,0.6207
1010,Diana,Martinez,,Female,HR,Manager,11.4,57319.19,581.34,1.3,D,6,2.7,2.0,25,Masters,Seattle,69.42,0.1171
1011,Hank,Anderson,20.0,Male,Operations,Mid,5.1,36686.25,1343.52,9.63,D,4,8.7,12.0,0,Bachelors,Denver,85.38,0.1403
1012,Charlie,Martinez,61.0,Non-Binary,Finance,Junior,8.1,51937.32,446.0,1.25,F,5,0.0,17.0,50,Masters,Chicago,82.78,0.2935
1013,Bob,Davis,40.0,Male,Finance,Director,17.2,51301.22,1435.6,1.02,D,8,1.3,1.0,0,Bachelors,Chicago,87.04,0.3659
1014,Leo,Smith,28.0,Female,Legal,Mid,5.5,60838.41,835.39,3.91,C,2,6.8,10.0,75,Masters,Chicago,94.75,0.5971
1015,Frank,Thomas,34.0,Female,Legal,Junior,4.9,106369.37,832.88,3.0,B,8,6.4,6.0,50,Masters,Seattle,50.63,0.3228
1016,Bob,Davis,54.0,Male,Sales,Senior,2.4,68533.64,1345.44,6.16,C,9,0.9,3.0,75,Bachelors,Portland,71.49,0.2237
1017,Alice,Rodriguez,24.0,Female,Engineering,Mid,2.5,77318.87,299.94,9.05,D,4,20.4,13.0,100,Bachelors,Atlanta,44.61,0.1238
1018,Leo,Garcia,60.0,Male,Support,Mid,11.1,78013.03,647.04,5.33,,7,5.6,14.0,25,Bachelors,Seattle,58.29,0.265
1019,Leo,Martinez,41.0,Non-Binary,Support,Manager,4.2,106926.78,757.17,7.96,F,7,2.3,10.0,25,Bachelors,Denver,59.83,0.073
1020,Quinn,Moore,60.0,Male,HR,Junior,1.2,59337.12,1299.6,9.18,C,8,2.2,2.0,25,Bachelors,Seattle,86.83,0.0646
1021,Jack,Jones,42.0,Non-Binary,Engineering,Junior,0.7,,1833.51,2.7,C,12,3.7,7.0,100,Masters,Austin,97.2,0.5636
1022,Paul,Garcia,26.0,Male,Engineering,Mid,4.5,69663.61,275.81,5.39,F,11,0.2,11.0,100,Bachelors,Chicago,86.94,0.1009
1023,Olivia,Thomas,42.0,Female,Engineering,Senior,4.4,97003.77,840.42,6.78,F,6,6.3,13.0,0,High School,New York,74.77,0.2105
1024,Olivia,Garcia,63.0,Female,Finance,Junior,7.4,101570.33,255.19,,B,14,0.4,4.0,50,High School,Atlanta,56.79,0.4239
1025,Sam,Rodriguez,44.0,Female,Engineering,Mid,4.5,82440.84,834.71,7.66,C,8,5.3,13.0,50,Masters,New York,59.91,0.551
1026,Leo,Brown,46.0,Male,HR,Senior,1.1,99124.01,1172.9,7.35,D,4,8.1,,50,Masters,Chicago,38.12,0.2161
1027,Tina,Johnson,60.0,Female,Finance,Lead,5.0,75908.54,581.85,4.79,,8,11.8,2.0,75,PhD,Portland,62.24,0.1039
1028,Charlie,Wilson,25.0,Male,HR,Junior,16.6,68202.73,1899.33,1.79,D,8,0.8,12.0,100,Bachelors,Seattle,90.52,0.3
1029,Eve,Wilson,53.0,Female,Finance,Lead,1.2,97931.93,1183.1,1.1,A,5,6.8,19.0,100,Masters,New York,87.32,0.1058
1030,Sam,Rodriguez,28.0,Male,Support,Junior,8.2,82727.59,1117.87,4.32,B,9,20.5,2.0,100,High School,Austin,72.37,0.2827
1031,Grace,Johnson,52.0,Non-Binary,Marketing,Senior,6.3,55818.33,926.11,1.74,B,7,0.4,0.0,25,Bachelors,Denver,90.02,0.383
1032,Ivy,Martinez,25.0,Male,Marketing,Mid,9.7,93943.26,1330.13,8.03,C,11,0.1,12.0,75,Masters,Miami,86.87,0.3871
1033,Grace,Rodriguez,56.0,Male,Support,Junior,1.1,67413.16,2004.78,4.01,A,15,1.2,13.0,100,Bachelors,Portland,93.06,0.7747
1034,Rita,Johnson,50.0,Male,Marketing,Senior,19.9,64721.88,970.4,6.99,A,11,1.1,17.0,100,High School,Miami,85.5,0.1727
1035,Diana,Anderson,53.0,Male,Marketing,Junior,6.8,91646.1,608.81,4.12,D,12,1.9,10.0,50,High School,,71.1,0.1875
1036,Ned,Davis,2.0,Male,Support,Junior,13.1,70045.69,3614.49,8.16,B,14,12.9,6.0,50,Bachelors,Austin,98.53,0.5152
1037,Rita,Rodriguez,48.0,Female,Finance,Mid,2.0,80557.09,951.79,9.0,B,11,5.7,2.0,100,Masters,Atlanta,77.08,0.071
1038,Ivy,Anderson,33.0,Female,Engineering,Senior,9.4,86562.67,752.27,8.54,,8,0.1,0.0,25,Bachelors,Boston,69.28,0.2926
1039,Bob,Martinez,55.0,Female,Support,Junior,10.6,54775.25,1280.76,5.36,B,5,3.4,16.0,100,Masters,Austin,68.57,0.2987
1040,Tina,Rodriguez,55.0,Female,Sales,Junior,3.5,80466.71,135.64,1.76,D,9,10.4,11.0,50,Bachelors,Chicago,91.08,0.219
1041,Olivia,Martinez,34.0,Male,Legal,Junior,3.4,101688.41,257.04,4.35,B,10,3.8,16.0,75,Masters,San Francisco,80.32,0.1299
1042,Grace,Rodriguez,27.0,Female,Operations,Mid,7.5,50957.72,,4.82,C,6,1.1,5.0,25,Masters,Seattle,75.92,0.3637
1043,Leo,Johnson,45.0,Male,Sales,Mid,0.7,81898.0,129.29,9.64,C,11,15.4,8.0,0,PhD,Atlanta,78.8,0.3829
1044,Hank,Brown,55.0,Female,Marketing,Junior,9.3,53751.71,356.1,6.09,D,11,1.8,16.0,75,Bachelors,Portland,96.74,0.0716
1045,Olivia,Miller,40.0,Male,Engineering,Junior,0.3,94470.75,582.38,6.77,,7,2.2,,75,Bachelors,,73.35,0.2605
1046,Charlie,Anderson,47.0,Male,HR,Mid,1.5,94261.92,559.93,8.04,B,8,2.2,17.0,25,Masters,Chicago,63.67,0.4152
1047,Ned,Johnson,23.0,Male,Engineering,Lead,7.6,64204.91,769.1,6.11,F,7,2.5,1.0,25,Bachelors,Atlanta,94.79,0.2715
1048,Quinn,Smith,35.0,Female,HR,Senior,0.7,120611.83,1071.56,6.39,C,3,6.2,8.0,100,High School,Atlanta,86.37,0.2382
1049,Diana,Williams,41.0,Male,Sales,Lead,25.0,96345.76,600.98,3.21,C,7,1.9,17.0,0,Masters,Chicago,88.9,0.0405
1050,Rita,Anderson,31.0,Female,Engineering,Junior,14.2,87552.44,1099.05,1.53,B,8,3.1,14.0,25,High School,Denver,64.09,0.322
1051,Hank,Brown,35.0,Male,Engineering,Director,6.9,86313.44,1992.69,7.49,C,10,1.5,17.0,25,Masters,Portland,69.36,0.2585
1052,Diana,Davis,59.0,Female,Operations,Mid,12.0,93646.39,3011.59,8.64,B,9,3.5,11.0,75,High School,Seattle,85.62,0.0395
1053,Bob,Garcia,57.0,Female,Support,Director,15.3,50095.87,2232.47,4.71,B,8,14.7,4.0,100,Masters,Chicago,54.18,0.1439
1054,Frank,Wilson,61.0,Male,Sales,Mid,2.1,76281.37,2746.06,5.94,C,4,,4.0,100,Bachelors,San Francisco,79.74,0.4094
1055,Jack,Johnson,56.0,Female,Engineering,Mid,13.3,80430.19,782.81,3.77,F,10,8.5,8.0,50,Masters,Seattle,71.97,0.0393
1056,Diana,Moore,48.0,Female,HR,Mid,1.5,63197.01,152.41,5.05,B,4,1.2,16.0,0,High School,Austin,46.12,0.1184
1057,Rita,Rodriguez,37.0,Female,Legal,Mid,3.7,82225.5,729.12,2.88,B,12,0.8,4.0,50,High School,Chicago,78.65,0.461
1058,Leo,Taylor,29.0,Female,Engineering,Lead,5.7,99097.27,326.14,7.84,B,7,0.5,2.0,100,High School,Boston,91.75,0.4528
1059,Bob,Johnson,61.0,Female,HR,Senior,8.8,62721.08,791.17,5.43,C,10,19.5,18.0,75,Bachelors,Austin,86.59,0.3279
1060,Jack,Thomas,58.0,Female,Marketing,Director,0.2,70802.67,253.32,5.92,C,5,4.2,,75,High School,Boston,68.3,0.5005
1061,Diana,Moore,37.0,Male,Engineering,Senior,2.4,53947.12,910.38,1.33,B,9,3.6,3.0,0,High School,San Francisco,44.54,0.474
1062,Ned,Anderson,20.0,Female,HR,Mid,6.6,32686.24,426.06,6.6,D,7,0.0,19.0,100,High School,Boston,74.79,0.4452
1063,Paul,Jones,,Male,Legal,Junior,3.1,89136.51,422.89,2.82,B,13,3.3,19.0,75,Bachelors,Chicago,63.32,0.1506
1064,Olivia,Anderson,40.0,Male,Sales,Director,10.4,71433.86,1833.17,4.45,B,7,5.4,17.0,25,Bachelors,Chicago,74.74,0.1266
1065,Hank,Brown,20.0,Female,Marketing,Senior,7.4,73046.75,930.02,4.71,A,6,2.6,18.0,0,Bachelors,,62.26,0.0627
1066,Ned,Thomas,34.0,Male,Engineering,Senior,1.9,50290.98,827.92,5.04,A,13,0.7,2.0,25,Bachelors,,78.65,0.7461
1067,Hank,Miller,23.0,Male,Operations,Mid,1.1,67918.92,1523.27,3.05,A,8,1.6,7.0,100,Masters,Chicago,95.68,0.3674
1068,Paul,Davis,39.0,Female,HR,Mid,6.9,96125.06,1083.03,8.65,B,8,6.3,7.0,100,Bachelors,Atlanta,74.0,0.1233
1069,Mona,Jones,29.0,Female,Legal,Manager,4.2,72018.07,1502.73,4.85,C,8,3.2,11.0,25,Bachelors,New York,66.4,0.2384
1070,Rita,Martinez,42.0,Female,Operations,Junior,1.3,72642.04,739.92,6.51,A,11,3.3,16.0,50,High School,New York,63.75,0.4436
1071,Olivia,Taylor,60.0,Non-Binary,Engineering,Mid,2.8,76565.62,1434.99,6.53,B,8,0.2,19.0,0,Bachelors,Miami,78.36,0.0824
1072,Mona,Taylor,53.0,Female,HR,Junior,2.5,44799.59,166.11,6.46,B,8,3.8,6.0,25,Masters,San Francisco,83.05,0.3451
1073,Ivy,Jones,52.0,Male,Engineering,Lead,0.8,85748.25,729.4,6.03,B,5,2.8,16.0,25,Bachelors,Seattle,80.1,0.1089
1074,Olivia,Johnson,53.0,Male,Marketing,Junior,5.5,44385.64,1022.13,8.4,B,10,10.6,1.0,50,Bachelors,Denver,49.67,0.3708
1075,Mona,Davis,58.0,Female,Legal,Junior,10.1,51328.46,580.33,8.31,B,11,2.4,4.0,75,Bachelors,,86.42,0.1048
1076,Alice,Taylor,29.0,Male,Legal,Mid,6.0,48917.28,751.97,4.75,F,9,4.7,6.0,0,Bachelors,Miami,66.13,0.1835
1077,Grace,Johnson,39.0,Female,Marketing,Mid,12.3,68145.05,1564.41,6.72,C,3,13.7,18.0,50,PhD,San Francisco,68.75,0.0207
1078,Ivy,Martinez,20.0,Female,Engineering,Mid,1.0,64246.04,1598.75,1.93,C,7,4.2,11.0,25,Masters,Denver,76.12,0.146
1079,Alice,Anderson,32.0,Male,Engineering,Junior,4.0,71973.05,1018.34,1.82,D,10,0.2,1.0,75,PhD,Austin,98.78,0.1156
1080,Leo,Garcia,20.0,Female,Finance,Director,6.6,52084.36,2063.7,5.32,C,8,0.5,0.0,100,Bachelors,Austin,96.41,0.4149
1081,Hank,Davis,24.0,Female,Engineering,Director,7.9,94120.9,312.97,9.1,C,9,17.0,10.0,75,Bachelors,Austin,76.18,0.5755
1082,Kate,Garcia,35.0,Male,Legal,Mid,8.3,90348.61,668.22,6.85,C,6,4.0,7.0,100,High School,Portland,79.55,0.3209
1083,Sam,Brown,34.0,Non-Binary,Engineering,Senior,9.1,68176.1,688.46,7.02,C,7,1.0,13.0,50,Bachelors,Austin,72.3,0.6684
1084,Quinn,Thomas,47.0,Female,Operations,Senior,7.4,61475.93,1932.53,2.42,D,7,4.2,,100,Bachelors,Austin,92.01,0.0886
1085,Hank,Brown,50.0,Male,Operations,Junior,0.7,59254.14,1184.34,5.08,B,12,15.8,1.0,100,Masters,Boston,92.15,0.4422
1086,Charlie,Garcia,42.0,Female,Marketing,Mid,8.3,65176.81,2310.73,4.61,B,13,0.2,7.0,25,PhD,Austin,90.24,0.2794
1087,Charlie,Taylor,64.0,Female,Operations,Mid,9.0,41194.6,176.54,8.05,A,8,3.7,11.0,100,Bachelors,Seattle,57.29,0.2218
1088,Alice,Moore,62.0,Female,Engineering,Mid,35.2,50888.64,1040.84,2.24,D,7,0.7,14.0,100,Masters,Austin,55.76,0.2686
1089,Eve,Thomas,36.0,Female,Sales,Mid,8.3,90922.65,841.33,5.85,B,8,3.0,19.0,0,Bachelors,San Francisco,72.58,0.2889
1090,Jack,Brown,53.0,Female,Support,Lead,8.1,78639.87,41.39,9.2,D,8,5.3,11.0,25,Masters,Seattle,78.36,0.2644
1091,Grace,Davis,32.0,Male,Engineering,Mid,5.1,107954.04,415.37,9.03,B,8,3.1,13.0,50,Masters,Atlanta,91.47,0.3942
1092,Ivy,Rodriguez,33.0,Female,Support,Senior,14.2,65417.71,316.16,8.67,B,6,16.5,9.0,50,Masters,San Francisco,90.27,0.1021
1093,Grace,Smith,30.0,Female,Legal,Junior,40.3,,1174.6,4.37,B,8,4.4,,50,Masters,Seattle,64.8,0.1061
1094,Ivy,Thomas,47.0,Male,Finance,Mid,10.6,63026.22,1868.87,9.47,C,11,16.6,19.0,50,Bachelors,Seattle,92.01,0.4536
1095,Hank,Brown,61.0,Male,HR,Mid,6.6,64978.38,619.54,8.25,C,7,1.9,16.0,75,Bachelors,Atlanta,97.39,0.3127
1096,Leo,Brown,51.0,Non-Binary,Legal,Mid,0.6,57481.01,303.16,8.66,B,4,0.1,8.0,0,Bachelors,Seattle,83.28,0.3549
1097,Bob,Johnson,54.0,Female,Support,Lead,9.1,77961.74,247.56,9.39,C,10,0.8,8.0,25,Masters,Atlanta,82.62,0.2376
1098,Alice,Garcia,50.0,Female,Marketing,Lead,8.6,72640.29,2393.03,9.43,B,7,0.4,14.0,25,PhD,Portland,86.19,0.2284
1099,Paul,Williams,36.0,Female,Operations,Mid,10.5,60781.88,462.39,3.16,C,7,6.7,18.0,75,Masters,New York,75.89,0.1523
1100,Eve,Miller,28.0,Female,Sales,Senior,0.9,99525.28,11.59,2.15,C,8,1.1,16.0,25,Bachelors,Atlanta,79.88,0.162
1101,Charlie,Thomas,29.0,Female,Legal,Manager,7.4,113724.82,508.93,7.22,D,10,7.1,17.0,50,High School,Seattle,30.7,0.2128
1102,Leo,Wilson,27.0,Female,HR,Senior,2.5,97664.7,170.59,6.07,D,9,3.9,6.0,75,PhD,Miami,77.07,0.5216
1103,Hank,Wilson,40.0,Male,Sales,Junior,10.0,84278.73,872.32,3.95,B,9,1.2,15.0,50,Bachelors,Chicago,46.82,0.3541
1104,Charlie,Jones,32.0,Female,Marketing,Senior,1.9,88758.93,807.32,7.16,A,11,4.8,4.0,75,Masters,Seattle,70.51,0.3145
1105,Alice,Brown,24.0,Female,Operations,Junior,8.1,112841.14,615.16,1.56,D,3,0.1,17.0,50,Masters,Seattle,83.46,0.2684
1106,Charlie,Jones,25.0,Female,Finance,Manager,2.4,88727.02,202.56,1.42,A,9,2.0,6.0,100,Masters,Atlanta,36.54,0.333
